SHI,Shimojishima Airport
IWJ,Iwami Airport
OBO,Obihiro Airport
OIR,Okushiri Airport
WKJ,Wakkanai Airport
MMY,Miyako Jima Airport
TRA,Tarama Airport
OGN,Yonaguni Airport
MMD,Minami Daito Airport
MYJ,Matsuyama Airport
KKX,Kikaiga Shima
IWK,Marine Corps Air Station Iwakuni
AXJ,Amakusa Airfield
OKE,Okino Erabu Airpor
TNE,New Tanegashima Airport
RNJ,Yoron Airport
MMJ,Matsumoto Airport
KTD,Kitadaito Airport
UEO,Kume Jima Airport
TKN,Tokunoshima Airport
SYO,Shonai Airport
SHM,Nanki Shirahama Airport
SHB,Nakashibetsu Airport
RIS,Rishiri Airport
ONJ,Odate Noshiro Airport
OKI,Oki Island Airport
MMB,Memambetsu Airport
MBE,Monbetsu Airport
KKJ,Kita Kyushu Airport
IZO,Izumo Airport
HAC,Hachijo Jima Airport
FUJ,Fukue Airport
ASJ,Amami O Shima Airport
IBR,Ibaraki Airport
FSZ,Shizuoka Airport
OKA,Okinawa Naha Airport
UKB,Osaka Kobe Airport
YGJ,Yonago Airport
UBJ,Ube Airport
TTJ,Tottori Airport
TSJ,Tsushima Airport
TOY,Toyama Airport
TKS,Tokushima Airport
TJH,Tajima Airport
TAK,Takamatsu Airport
SDJ,Sendai Airport
OKJ,Okayama Airport
OIT,Oita Airport
NTQ,Wajima Airport
NGS,Nagasaki Airport
MSJ,Misawa Airport
KUM,Yakushima Airport
KUH,Kushiro Airport
KOJ,Kagoshima Airport
KMQ,Komatsu Airport
KMJ,Kumamoto Airport
KMI,Miyazaki Airport
KIJ,Niigata Airport
KCZ,Kochi Airport
ISG,Ishigaki Airport
IKI,Iki Airport
HSG,Saga Airport
HNA,Hanamaki Airport
HKD,Hakodate Airport
HIJ,Hiroshima International Airport
GAJ,Yamagata Airport
FUK,Fukuoka Airport
FKS,Fukushima Airport
AXT,Akita Airport
AOJ,Aomori Airport
AKJ,Asahikawa Airport